,Team,Team Initials,Appearances,Winner,Runners-Up,Third,Fourth,Finals,Semi-finals,Quarter-finals,Round of 16,Matches,Won Matches,Lost Matches,Draws,Attendance,Home Goals for,Away Goals for,Home Goals against,Away Goals against,Half-time Home Goals for,Half-time Away Goals for,Half-time Home Goals against,Half-time Away Goals against,Goals for,Goals against,Half-time Goals for,Half-time Goals against,Home Goals difference,Away Goals difference,Goals difference,Half-time Goals difference,Yellow cards,Red cards
0,Brazil,BRA,20,5,2,2,2,7,11,14,9,108,71,19,18,5925042.0,180.0,45.0,78.0,36.0,66.0,17.0,40.0,18.0,225.0,114.0,83.0,58.0,102.0,9.0,111.0,25.0,110,11
1,Germany,GER,18,4,4,4,1,8,13,15,9,110,70,20,20,5581666.0,168.0,67.0,68.0,55.0,66.0,30.0,24.0,15.0,235.0,123.0,96.0,39.0,100.0,12.0,112.0,57.0,81,4
2,Italy,ITA,18,4,2,1,1,6,8,8,6,83,45,17,21,4209004.0,99.0,29.0,41.0,36.0,36.0,13.0,13.0,13.0,128.0,77.0,49.0,26.0,58.0,-7.0,51.0,23.0,93,8
3,Argentina,ARG,16,2,3,0,0,5,5,8,8,81,44,22,15,4308026.0,111.0,22.0,44.0,41.0,48.0,8.0,14.0,16.0,133.0,85.0,56.0,30.0,67.0,-19.0,48.0,26.0,121,9
4,Uruguay,URU,12,2,0,0,3,2,5,4,5,52,20,20,12,2314405.0,62.0,18.0,29.0,44.0,27.0,6.0,14.0,17.0,80.0,73.0,33.0,31.0,33.0,-26.0,7.0,2.0,65,9
5,England,ENG,14,1,0,0,1,1,2,8,6,62,26,16,20,2940845.0,54.0,25.0,20.0,36.0,20.0,11.0,5.0,9.0,79.0,56.0,31.0,14.0,34.0,-11.0,23.0,17.0,51,3
6,France,FRA,14,1,1,2,1,2,5,7,5,61,29,20,12,2787187.0,68.0,40.0,31.0,41.0,25.0,17.0,12.0,15.0,108.0,72.0,42.0,27.0,37.0,-1.0,36.0,15.0,60,6
7,Spain,ESP,14,1,0,0,1,1,2,6,6,59,29,18,12,2638930.0,50.0,42.0,30.0,36.0,16.0,20.0,11.0,14.0,92.0,66.0,36.0,25.0,20.0,6.0,26.0,11.0,64,1
8,Netherlands,NED,10,0,3,1,1,3,5,5,7,54,29,11,14,2867980.0,51.0,40.0,21.0,28.0,19.0,18.0,9.0,8.0,91.0,49.0,37.0,17.0,30.0,12.0,42.0,20.0,108,7
9,Mexico,MEX,15,0,0,0,0,0,0,2,8,54,14,26,14,2604898.0,22.0,36.0,11.0,83.0,10.0,6.0,6.0,35.0,58.0,94.0,16.0,41.0,11.0,-47.0,-36.0,-25.0,77,6
10,Sweden,SWE,11,0,1,2,1,1,4,4,3,46,16,17,13,2024201.0,53.0,21.0,25.0,44.0,23.0,10.0,11.0,17.0,74.0,69.0,33.0,28.0,28.0,-23.0,5.0,5.0,44,3
11,Belgium,BEL,12,0,0,0,1,0,1,3,6,43,15,19,9,2159973.0,27.0,27.0,16.0,52.0,10.0,8.0,7.0,17.0,54.0,68.0,18.0,24.0,11.0,-25.0,-14.0,-6.0,42,3
12,Yugoslavia,YUG,9,0,0,0,2,0,2,4,2,37,16,13,8,1318618.0,42.0,18.0,9.0,37.0,19.0,8.0,4.0,13.0,60.0,46.0,27.0,17.0,33.0,-19.0,14.0,10.0,28,2
13,Switzerland,SUI,10,0,0,0,0,0,0,3,4,34,11,17,6,1489591.0,22.0,23.0,16.0,44.0,8.0,13.0,9.0,19.0,45.0,60.0,21.0,28.0,6.0,-21.0,-15.0,-7.0,33,1
14,Chile,CHI,9,0,0,1,0,0,1,1,4,34,11,15,8,1333656.0,25.0,16.0,11.0,39.0,9.0,8.0,6.0,21.0,41.0,50.0,17.0,27.0,14.0,-23.0,-9.0,-10.0,49,3
15,USA,USA,10,0,0,1,0,0,1,1,5,34,8,20,6,1486175.0,19.0,19.0,21.0,43.0,10.0,7.0,10.0,17.0,38.0,64.0,17.0,27.0,-2.0,-24.0,-26.0,-10.0,55,4
16,Hungary,HUN,9,0,2,0,0,2,2,5,0,32,15,14,3,850165.0,73.0,14.0,19.0,38.0,33.0,7.0,9.0,21.0,87.0,57.0,40.0,30.0,54.0,-24.0,30.0,10.0,6,5
17,Soviet Union,URS,7,0,0,0,1,0,1,4,1,31,15,10,6,1237114.0,43.0,10.0,18.0,16.0,15.0,5.0,4.0,6.0,53.0,34.0,20.0,10.0,25.0,-6.0,19.0,10.0,18,2
18,Poland,POL,7,0,0,2,0,0,2,0,1,31,15,11,5,1254183.0,27.0,17.0,14.0,26.0,13.0,8.0,4.0,9.0,44.0,40.0,21.0,13.0,13.0,-9.0,4.0,8.0,43,1
19,Korea Republic,KOR,9,0,0,0,1,0,1,1,2,31,5,17,9,1401968.0,18.0,13.0,22.0,45.0,5.0,2.0,11.0,22.0,31.0,67.0,7.0,33.0,-4.0,-32.0,-36.0,-26.0,61,2
20,Czechoslovakia,TCH,8,0,2,0,0,2,2,5,1,30,11,14,5,891114.0,27.0,17.0,8.0,37.0,8.0,10.0,2.0,11.0,44.0,45.0,18.0,13.0,19.0,-20.0,-1.0,5.0,18,4
21,Austria,AUT,7,0,0,1,1,0,2,2,0,29,12,13,4,993170.0,31.0,12.0,17.0,30.0,14.0,3.0,10.0,13.0,43.0,47.0,17.0,23.0,14.0,-18.0,-4.0,-6.0,23,1
22,Paraguay,PAR,8,0,0,0,0,0,0,1,4,27,7,10,10,971335.0,14.0,16.0,10.0,28.0,7.0,7.0,4.0,12.0,30.0,38.0,14.0,16.0,4.0,-12.0,-8.0,-2.0,42,2
23,Portugal,POR,6,0,0,1,1,0,2,2,2,26,13,9,4,1266789.0,36.0,7.0,13.0,16.0,14.0,3.0,8.0,7.0,43.0,29.0,17.0,15.0,23.0,-9.0,14.0,2.0,49,6
24,Bulgaria,BUL,7,0,0,0,1,0,1,1,2,26,3,15,8,1160335.0,11.0,11.0,10.0,43.0,3.0,4.0,5.0,23.0,22.0,53.0,7.0,28.0,1.0,-32.0,-31.0,-21.0,42,3
25,Scotland,SCO,8,0,0,0,0,0,0,0,0,23,4,12,7,783776.0,11.0,14.0,11.0,30.0,5.0,9.0,2.0,12.0,25.0,41.0,14.0,14.0,0.0,-16.0,-16.0,0.0,17,1
26,Cameroon,CMR,7,0,0,0,0,0,0,1,1,23,4,12,7,1068503.0,11.0,7.0,23.0,20.0,3.0,1.0,8.0,7.0,18.0,43.0,4.0,15.0,-12.0,-13.0,-25.0,-11.0,49,8
27,Romania,ROU,7,0,0,0,0,0,0,1,3,21,8,8,5,1023420.0,15.0,15.0,13.0,19.0,5.0,7.0,5.0,7.0,30.0,32.0,12.0,12.0,2.0,-4.0,-2.0,0.0,32,1
28,Colombia,COL,5,0,0,0,0,0,0,2,3,20,8,10,2,1019379.0,11.0,18.0,6.0,23.0,4.0,4.0,4.0,10.0,29.0,29.0,8.0,14.0,5.0,-5.0,0.0,-6.0,25,0
29,Nigeria,NGA,5,0,0,0,0,0,0,0,4,19,5,11,3,920343.0,12.0,8.0,14.0,14.0,7.0,5.0,6.0,6.0,20.0,28.0,12.0,12.0,-2.0,-6.0,-8.0,0.0,27,1
30,Costa Rica,CRC,4,0,0,0,0,0,0,2,3,17,5,6,6,775439.0,7.0,11.0,10.0,14.0,2.0,2.0,4.0,7.0,18.0,24.0,4.0,11.0,-3.0,-3.0,-6.0,-7.0,44,2
31,Japan,JPN,5,0,0,0,0,0,0,0,2,17,4,9,4,749774.0,7.0,7.0,14.0,8.0,3.0,4.0,4.0,1.0,14.0,22.0,7.0,5.0,-7.0,-1.0,-8.0,2.0,31,0
32,Denmark,DEN,4,0,0,0,0,0,0,1,3,16,8,6,2,654045.0,13.0,14.0,13.0,11.0,6.0,7.0,7.0,4.0,27.0,24.0,13.0,11.0,0.0,3.0,3.0,2.0,31,3
33,Croatia,CRO,4,0,0,1,0,0,1,1,1,16,7,7,2,740670.0,3.0,18.0,6.0,11.0,1.0,7.0,1.0,5.0,21.0,17.0,8.0,6.0,-3.0,7.0,4.0,2.0,39,4
34,Peru,PER,4,0,0,0,0,0,0,1,0,15,4,8,3,411889.0,13.0,6.0,4.0,27.0,4.0,2.0,3.0,11.0,19.0,31.0,6.0,14.0,9.0,-21.0,-12.0,-8.0,9,1
35,Algeria,ALG,4,0,0,0,0,0,0,0,2,14,3,8,3,443075.0,5.0,9.0,10.0,11.0,3.0,4.0,3.0,0.0,14.0,21.0,7.0,3.0,-5.0,-2.0,-7.0,4.0,21,2
36,Northern Ireland,NIR,3,0,0,0,0,0,0,1,0,13,3,5,5,312369.0,5.0,8.0,6.0,17.0,1.0,5.0,4.0,4.0,13.0,23.0,6.0,8.0,-1.0,-9.0,-10.0,-2.0,9,1
