,Team,Team Initials,Appearances,Winner,Runners-Up,Third,Fourth,Semi-finals,Quarter-finals,Round of 16,Matches,Won Matches,Lost Matches,Draws,Attendance,Home Goals for,Away Goals for,Home Goals against,Away Goals against,Half-time Home Goals for,Half-time Away Goals for,Half-time Home Goals against,Half-time Away Goals against,Goals for,Goals against,Half-time Goals for,Half-time Goals against,Home Goals difference,Away Goals difference,Goals difference,Half-time Goals difference,Yellow cards,Red cards
27,Belgium,BEL,12,0,0,0,1,1,3,6,43,15,19,9,2159973.0,27.0,27.0,16.0,52.0,10.0,8.0,7.0,17.0,54.0,68.0,18.0,24.0,11.0,-25.0,-14.0,-6.0,42,3
2,Yugoslavia,YUG,9,0,0,0,2,2,4,2,37,16,13,8,1318618.0,42.0,18.0,9.0,37.0,19.0,8.0,4.0,13.0,60.0,46.0,27.0,17.0,33.0,-19.0,14.0,10.0,28,2
11,Switzerland,SUI,10,0,0,0,0,0,3,4,34,11,17,6,1489591.0,22.0,23.0,16.0,44.0,8.0,13.0,9.0,19.0,45.0,60.0,21.0,28.0,6.0,-21.0,-15.0,-7.0,33,1
5,Chile,CHI,9,0,0,1,0,1,1,4,34,11,15,8,1333656.0,25.0,16.0,11.0,39.0,9.0,8.0,6.0,21.0,41.0,50.0,17.0,27.0,14.0,-23.0,-9.0,-10.0,49,3
1,USA,USA,10,0,0,1,0,1,1,5,34,8,20,6,1486175.0,19.0,19.0,21.0,43.0,10.0,7.0,10.0,17.0,38.0,64.0,17.0,27.0,-2.0,-24.0,-26.0,-10.0,55,4
10,Hungary,HUN,9,0,2,0,0,2,5,0,32,15,14,3,850165.0,73.0,14.0,19.0,38.0,33.0,7.0,9.0,21.0,87.0,57.0,40.0,30.0,54.0,-24.0,30.0,10.0,6,5
20,Soviet Union,URS,7,0,0,0,1,1,4,1,31,15,10,6,1237114.0,43.0,10.0,18.0,16.0,15.0,5.0,4.0,6.0,53.0,34.0,20.0,10.0,25.0,-6.0,19.0,10.0,18,2
31,Poland,POL,7,0,0,2,0,2,0,1,31,15,11,5,1254183.0,27.0,17.0,14.0,26.0,13.0,8.0,4.0,9.0,44.0,40.0,21.0,13.0,13.0,-9.0,4.0,8.0,43,1
41,Korea Republic,KOR,9,0,0,0,1,1,1,2,31,5,17,9,1401968.0,18.0,13.0,22.0,45.0,5.0,2.0,11.0,22.0,31.0,67.0,7.0,33.0,-4.0,-32.0,-36.0,-26.0,61,2
16,Czechoslovakia,TCH,8,0,2,0,0,2,5,1,30,11,14,5,891114.0,27.0,17.0,8.0,37.0,8.0,10.0,2.0,11.0,44.0,45.0,18.0,13.0,19.0,-20.0,-1.0,5.0,18,4
9,Austria,AUT,7,0,0,1,1,2,2,0,29,12,13,4,993170.0,31.0,12.0,17.0,30.0,14.0,3.0,10.0,13.0,43.0,47.0,17.0,23.0,14.0,-18.0,-4.0,-6.0,23,1
8,Paraguay,PAR,8,0,0,0,0,0,1,4,27,7,10,10,971335.0,14.0,16.0,10.0,28.0,7.0,7.0,4.0,12.0,30.0,38.0,14.0,16.0,4.0,-12.0,-8.0,-2.0,42,2
24,Portugal,POR,6,0,0,1,1,2,2,2,26,13,9,4,1266789.0,36.0,7.0,13.0,16.0,14.0,3.0,8.0,7.0,43.0,29.0,17.0,15.0,23.0,-9.0,14.0,2.0,49,6
28,Bulgaria,BUL,7,0,0,0,1,1,1,2,26,3,15,8,1160335.0,11.0,11.0,10.0,43.0,3.0,4.0,5.0,23.0,22.0,53.0,7.0,28.0,1.0,-32.0,-31.0,-21.0,42,3
33,Scotland,SCO,8,0,0,0,0,0,0,0,23,4,12,7,783776.0,11.0,14.0,11.0,30.0,5.0,9.0,2.0,12.0,25.0,41.0,14.0,14.0,0.0,-16.0,-16.0,0.0,17,1
46,Cameroon,CMR,7,0,0,0,0,0,1,1,23,4,12,7,1068503.0,11.0,7.0,23.0,20.0,3.0,1.0,8.0,7.0,18.0,43.0,4.0,15.0,-12.0,-13.0,-25.0,-11.0,49,8
3,Romania,ROU,7,0,0,0,0,0,1,3,21,8,8,5,1023420.0,15.0,15.0,13.0,19.0,5.0,7.0,5.0,7.0,30.0,32.0,12.0,12.0,2.0,-4.0,-2.0,0.0,32,1
48,Colombia,COL,5,0,0,0,0,0,2,3,20,8,10,2,1019379.0,11.0,18.0,6.0,23.0,4.0,4.0,4.0,10.0,29.0,29.0,8.0,14.0,5.0,-5.0,0.0,-6.0,25,0
50,Nigeria,NGA,5,0,0,0,0,0,0,4,19,5,11,3,920343.0,12.0,8.0,14.0,14.0,7.0,5.0,6.0,6.0,20.0,28.0,12.0,12.0,-2.0,-6.0,-8.0,0.0,27,1
45,Costa Rica,CRC,4,0,0,0,0,0,2,3,17,5,6,6,775439.0,7.0,11.0,10.0,14.0,2.0,2.0,4.0,7.0,18.0,24.0,4.0,11.0,-3.0,-3.0,-6.0,-7.0,44,2
57,Japan,JPN,5,0,0,0,0,0,0,2,17,4,9,4,749774.0,7.0,7.0,14.0,8.0,3.0,4.0,4.0,1.0,14.0,22.0,7.0,5.0,-7.0,-1.0,-8.0,2.0,31,0
43,Denmark,DEN,4,0,0,0,0,0,1,3,16,8,6,2,654045.0,13.0,14.0,13.0,11.0,6.0,7.0,7.0,4.0,27.0,24.0,13.0,11.0,0.0,3.0,3.0,2.0,31,3
58,Croatia,CRO,4,0,0,1,0,1,1,1,16,7,7,2,740670.0,3.0,18.0,6.0,11.0,1.0,7.0,1.0,5.0,21.0,17.0,8.0,6.0,-3.0,7.0,4.0,2.0,39,4
26,Peru,PER,4,0,0,0,0,0,1,0,15,4,8,3,411889.0,13.0,6.0,4.0,27.0,4.0,2.0,3.0,11.0,19.0,31.0,6.0,14.0,9.0,-21.0,-12.0,-8.0,9,1
37,Algeria,ALG,4,0,0,0,0,0,0,2,14,3,8,3,443075.0,5.0,9.0,10.0,11.0,3.0,4.0,3.0,0.0,14.0,21.0,7.0,3.0,-5.0,-2.0,-7.0,4.0,21,2
21,Northern Ireland,NIR,3,0,0,0,0,0,1,0,13,3,5,5,312369.0,5.0,8.0,6.0,17.0,1.0,5.0,4.0,4.0,13.0,23.0,6.0,8.0,-1.0,-9.0,-10.0,-2.0,9,1
40,Morocco,MAR,4,0,0,0,0,0,0,1,13,2,7,4,420697.0,3.0,9.0,5.0,13.0,1.0,5.0,2.0,6.0,12.0,18.0,6.0,8.0,-2.0,-4.0,-6.0,-2.0,19,0
32,Australia,AUS,4,0,0,0,0,0,0,1,13,2,8,3,555535.0,7.0,4.0,11.0,15.0,1.0,3.0,5.0,6.0,11.0,26.0,4.0,11.0,-4.0,-11.0,-15.0,-7.0,27,4
47,Republic of Ireland,IRL,3,0,0,0,0,0,1,3,13,2,3,8,650601.0,2.0,8.0,2.0,8.0,0.0,2.0,2.0,6.0,10.0,10.0,2.0,8.0,0.0,0.0,0.0,-6.0,16,0
51,Saudi Arabia,KSA,4,0,0,0,0,0,0,1,13,2,9,2,701859.0,3.0,6.0,13.0,19.0,2.0,3.0,6.0,7.0,9.0,32.0,5.0,13.0,-10.0,-13.0,-23.0,-8.0,22,1
70,Ghana,GHA,3,0,0,0,0,0,1,2,12,4,5,3,636950.0,4.0,9.0,5.0,11.0,3.0,1.0,3.0,4.0,13.0,16.0,4.0,7.0,-1.0,-2.0,-3.0,-3.0,36,1
36,Tunisia,TUN,4,0,0,0,0,0,0,0,12,1,7,4,525357.0,6.0,2.0,6.0,11.0,2.0,2.0,2.0,2.0,8.0,17.0,4.0,4.0,0.0,-9.0,-9.0,0.0,31,1
68,Iran,IRN,4,0,0,0,0,0,0,0,12,1,8,3,433921.0,1.0,6.0,1.0,21.0,0.0,3.0,0.0,7.0,7.0,22.0,3.0,7.0,0.0,-15.0,-15.0,-4.0,18,0
54,Greece,GRE,3,0,0,0,0,0,0,2,11,2,6,3,510852.0,4.0,2.0,6.0,15.0,2.0,0.0,2.0,5.0,6.0,21.0,2.0,7.0,-2.0,-13.0,-15.0,-5.0,24,1
19,Turkey,TUR,2,0,0,1,0,1,1,1,10,5,4,1,383186.0,10.0,10.0,0.0,17.0,6.0,7.0,0.0,5.0,20.0,17.0,13.0,5.0,10.0,-7.0,3.0,8.0,20,2
62,Ecuador,ECU,3,0,0,0,0,0,0,1,10,4,5,1,549877.0,4.0,6.0,3.0,8.0,1.0,4.0,2.0,4.0,10.0,11.0,5.0,6.0,1.0,-2.0,-1.0,-1.0,23,1
53,Russia,RUS,3,0,0,0,0,0,0,0,9,2,5,2,521941.0,9.0,4.0,2.0,11.0,3.0,2.0,0.0,3.0,13.0,13.0,5.0,3.0,7.0,-7.0,0.0,2.0,23,1
69,Côte d'Ivoire,CIV,3,0,0,0,0,0,0,0,9,3,5,1,491842.0,5.0,8.0,3.0,11.0,1.0,3.0,3.0,6.0,13.0,14.0,4.0,9.0,2.0,-3.0,-1.0,-5.0,22,1
56,South Africa,RSA,3,0,0,0,0,0,0,0,9,2,3,4,390299.0,7.0,4.0,10.0,6.0,3.0,2.0,5.0,2.0,11.0,16.0,5.0,7.0,-3.0,-2.0,-5.0,-2.0,21,2
38,Honduras,HON,3,0,0,0,0,0,0,0,9,0,6,3,327212.0,2.0,1.0,8.0,6.0,1.0,1.0,5.0,2.0,3.0,14.0,2.0,7.0,-6.0,-5.0,-11.0,-5.0,16,2
49,Norway,NOR,3,0,0,0,0,0,0,1,8,2,3,3,390023.0,1.0,6.0,0.0,8.0,0.0,1.0,0.0,2.0,7.0,8.0,1.0,2.0,1.0,-2.0,-1.0,-1.0,13,0
25,Korea DPR,PRK,2,0,0,0,0,0,1,0,7,1,5,1,247613.0,2.0,4.0,4.0,17.0,1.0,3.0,3.0,5.0,6.0,21.0,4.0,8.0,-2.0,-13.0,-15.0,-4.0,2,0
61,Slovenia,SVN,2,0,0,0,0,0,0,0,6,1,4,1,218791.0,3.0,2.0,6.0,4.0,3.0,0.0,1.0,2.0,5.0,10.0,3.0,3.0,-3.0,-2.0,-5.0,0.0,19,1
29,German DR,GDR,1,0,0,0,0,0,0,0,6,2,2,2,287965.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,-1.0,0.0,-1.0,10,0
73,New Zealand,NZL,2,0,0,0,0,0,0,0,6,0,3,3,194950.0,1.0,3.0,1.0,13.0,0.0,1.0,0.0,7.0,4.0,14.0,1.0,7.0,0.0,-10.0,-10.0,-6.0,6,0
52,Bolivia,BOL,3,0,0,0,0,0,0,0,6,0,5,1,229715.0,1.0,0.0,3.0,17.0,0.0,0.0,1.0,5.0,1.0,20.0,0.0,6.0,-2.0,-17.0,-19.0,-6.0,9,2
79,El Salvador,SLV,2,0,0,0,0,0,0,0,6,0,6,0,355742.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,7.0,1.0,22.0,0.0,7.0,0.0,-21.0,-21.0,-7.0,9,0
60,Senegal,SEN,1,0,0,0,0,0,1,1,5,2,1,2,223722.0,3.0,4.0,4.0,2.0,3.0,1.0,0.0,1.0,7.0,6.0,4.0,1.0,-1.0,2.0,1.0,3.0,14,1
71,Ukraine,UKR,1,0,0,0,0,0,1,1,5,2,2,1,260000.0,1.0,4.0,0.0,7.0,0.0,2.0,0.0,3.0,5.0,7.0,2.0,3.0,1.0,-3.0,-2.0,-1.0,12,1
23,Wales,WAL,1,0,0,0,0,0,1,0,5,1,1,3,89526.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,-1.0,0.0,0.0,0,0
74,Slovakia,SVK,1,0,0,0,0,0,0,1,4,1,2,1,165888.0,3.0,2.0,4.0,3.0,1.0,0.0,1.0,1.0,5.0,7.0,1.0,2.0,-1.0,-1.0,-2.0,-1.0,11,0
76,Egypt,EGY,2,0,0,0,0,0,0,0,4,0,2,2,110535.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,2.0,3.0,6.0,2.0,2.0,0.0,-3.0,-3.0,0.0,4,0
17,Cuba,CUB,1,0,0,0,0,0,1,0,3,1,1,1,22000.0,5.0,0.0,4.0,8.0,0.0,0.0,1.0,4.0,5.0,12.0,0.0,5.0,1.0,-8.0,-7.0,-5.0,0,0
75,Bosnia and Herzegovina,BIH,1,0,0,0,0,0,0,0,3,1,2,0,163248.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,4.0,1.0,2.0,2.0,-2.0,0.0,-1.0,3,0
55,Jamaica,JAM,1,0,0,0,0,0,0,0,3,1,2,0,122700.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,9.0,2.0,2.0,-2.0,-4.0,-6.0,0.0,7,1
66,Czech Republic,CZE,1,0,0,0,0,0,0,0,3,1,2,0,147000.0,0.0,3.0,4.0,0.0,0.0,2.0,2.0,0.0,3.0,4.0,2.0,2.0,-4.0,3.0,-1.0,0.0,8,2
64,Serbia and Montenegro,SCG,1,0,0,0,0,0,0,0,3,0,3,0,161000.0,0.0,2.0,1.0,9.0,0.0,2.0,1.0,4.0,2.0,10.0,2.0,5.0,-1.0,-7.0,-8.0,-3.0,13,2
72,Serbia,SRB,1,0,0,0,0,0,0,0,3,1,2,0,114963.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,-1.0,0.0,-1.0,1.0,11,1
44,United Arab Emirates,UAE,1,0,0,0,0,0,0,0,3,0,3,0,129793.0,0.0,2.0,2.0,9.0,0.0,1.0,0.0,4.0,2.0,11.0,1.0,4.0,-2.0,-7.0,-9.0,-3.0,8,1
35,Haiti,HAI,1,0,0,0,0,0,0,0,3,0,3,0,104200.0,0.0,2.0,7.0,7.0,0.0,0.0,5.0,2.0,2.0,14.0,0.0,7.0,-7.0,-5.0,-12.0,-7.0,3,0
80,Kuwait,KUW,1,0,0,0,0,0,0,0,3,0,2,1,94743.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,4.0,0.0,-4.0,-4.0,-4.0,3,0
78,Israel,ISR,1,0,0,0,0,0,0,0,3,0,1,2,40168.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,-2.0,-2.0,-1.0,4,0
67,Togo,TOG,1,0,0,0,0,0,0,0,3,0,3,0,158000.0,0.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,-4.0,-1.0,-5.0,0.0,11,1
65,Angola,ANG,1,0,0,0,0,0,0,0,3,0,1,2,126000.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,12,1
42,Iraq,IRQ,1,0,0,0,0,0,0,0,3,0,3,0,147763.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,3.0,-2.0,-1.0,-3.0,-3.0,11,1
59,China PR,CHN,1,0,0,0,0,0,0,0,3,0,3,0,107572.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,5.0,-2.0,-7.0,-9.0,-5.0,5,1
63,Trinidad and Tobago,TRI,1,0,0,0,0,0,0,0,3,0,2,1,149959.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,-4.0,-4.0,-1.0,11,1
39,Canada,CAN,1,0,0,0,0,0,0,0,3,0,3,0,93500.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,-1.0,-4.0,-5.0,-1.0,2,1
30,Zaire,ZAI,1,0,0,0,0,0,0,0,3,0,3,0,94900.0,0.0,0.0,5.0,9.0,0.0,0.0,3.0,6.0,0.0,14.0,0.0,9.0,-5.0,-9.0,-14.0,-9.0,2,1
77,Dutch East Indies,INH,1,0,0,0,0,0,0,0,1,0,1,0,9000.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,-6.0,-6.0,-4.0,0,0
